price_for_two,delivery_time_min,distance_km,food_prep_time_min,restaurant_age_years,avg_monthly_orders,discount_percent,delivery_fee,late_delivery_rate,packaging_rating,hygiene_rating,customer_support_rating,cuisine_count,city_tier,restaurant_type,veg_option,online_order,table_booking,food_rating
397.0,35.5,2.16,28.0,4.6,396.0,26.1,57.9,0.377,3,5,3,2,3,Cloud Kitchen,No,Yes,No,4
246.0,42.9,1.67,27.2,13.1,1328.0,11.1,43.5,0.479,5,3,3,2,1,Cafe,Yes,Yes,Yes,5
576.0,34.3,1.91,28.2,16.7,805.0,9.7,52.3,0.042,4,2,2,3,1,Casual Dining,No,Yes,No,4
489.0,10.0,5.53,36.9,7.9,1219.0,35.9,53.9,0.028,5,2,2,1,1,Quick Bites,Yes,Yes,Yes,4
1017.0,43.2,0.3,34.8,2.1,740.0,16.1,27.0,0.04,4,2,4,1,3,Casual Dining,No,Yes,Yes,4
572.0,53.4,11.98,23.8,13.5,960.0,16.4,22.9,0.115,3,4,4,2,1,Cloud Kitchen,Yes,Yes,Yes,2
325.0,13.1,0.74,28.2,3.5,1706.0,32.6,13.7,0.2,4,2,3,2,3,Fine Dining,Yes,No,No,4
222.0,38.0,1.75,43.2,8.5,1953.0,31.2,43.2,0.096,3,4,1,3,2,Cafe,No,No,Yes,2
670.0,47.6,0.46,33.3,3.4,1112.0,14.4,37.8,0.28,1,3,3,2,1,Cloud Kitchen,No,No,No,3
420.0,17.4,1.59,27.9,3.4,2159.0,10.4,34.3,0.012,1,3,3,2,2,Casual Dining,Yes,Yes,No,3
475.0,44.6,2.93,44.9,9.7,1729.0,6.4,40.3,0.309,3,2,2,1,3,Quick Bites,Yes,Yes,Yes,3
363.0,17.1,1.76,18.6,5.4,2256.0,5.0,44.2,0.267,2,3,3,4,1,Cafe,Yes,Yes,No,4
181.0,49.7,3.84,15.5,20.4,650.0,43.4,49.0,0.168,3,3,5,3,1,Cafe,No,Yes,No,4
776.0,64.7,10.83,33.1,18.7,1049.0,3.7,72.3,0.247,4,3,3,3,2,Casual Dining,Yes,Yes,Yes,5
627.0,37.2,2.55,25.9,6.6,2400.0,14.9,27.6,0.03,2,2,3,3,2,Cloud Kitchen,No,Yes,No,4
551.0,56.8,0.8,21.5,9.3,819.0,6.0,42.7,0.265,2,2,5,4,2,Casual Dining,Yes,Yes,No,4
687.0,39.7,0.6,28.4,4.6,3062.0,42.6,39.5,0.054,4,2,4,2,3,Fine Dining,Yes,Yes,No,5
264.0,49.5,3.85,39.1,14.7,2450.0,26.9,55.5,0.213,3,3,3,4,3,Quick Bites,Yes,No,Yes,3
1319.0,35.3,0.43,31.9,9.6,835.0,18.3,54.8,0.072,3,5,2,2,2,Quick Bites,Yes,No,No,5
420.0,52.7,3.57,25.0,1.6,880.0,44.8,50.2,0.131,2,4,5,4,1,Cloud Kitchen,No,Yes,No,4
590.0,25.6,0.3,38.5,6.7,3188.0,31.7,53.9,0.02,2,3,5,3,1,Casual Dining,No,Yes,Yes,5
716.0,37.7,3.49,24.1,4.1,586.0,18.2,32.0,0.302,4,4,4,1,2,Fine Dining,No,Yes,Yes,5
150.0,52.9,1.89,44.1,26.1,1389.0,1.3,29.8,0.261,2,4,2,4,2,Cloud Kitchen,Yes,Yes,No,2
1139.0,29.3,2.1,23.1,7.2,1942.0,18.3,41.0,0.079,4,5,2,4,1,Cloud Kitchen,Yes,Yes,No,5
507.0,45.5,1.23,34.4,8.2,1518.0,20.3,30.0,0.169,4,3,1,1,1,Cloud Kitchen,No,Yes,Yes,4
211.0,39.9,0.3,25.6,1.4,1310.0,29.5,27.3,0.249,5,3,4,1,2,Quick Bites,Yes,Yes,Yes,5
411.0,37.0,0.39,14.8,5.1,1112.0,1.1,33.3,0.224,3,3,2,1,3,Quick Bites,No,Yes,No,3
1929.0,30.8,0.86,14.6,0.7,5266.0,12.4,52.9,0.326,4,3,4,1,3,Cloud Kitchen,Yes,Yes,Yes,3
437.0,48.8,3.64,19.4,22.6,3244.0,15.9,63.8,0.108,3,3,5,2,1,Quick Bites,No,Yes,No,5
242.0,22.8,4.69,31.2,1.3,1179.0,20.3,21.4,0.216,4,5,5,1,2,Casual Dining,Yes,Yes,No,5
454.0,18.5,1.24,20.3,1.9,3853.0,18.6,32.8,0.075,5,3,3,2,1,Cafe,Yes,Yes,No,4
597.0,20.0,3.56,14.8,5.0,674.0,42.7,48.0,0.272,3,4,1,3,2,Cloud Kitchen,No,Yes,No,5
361.0,74.7,18.58,35.3,2.9,1856.0,19.5,43.7,0.19,2,5,1,1,1,Fine Dining,No,Yes,No,2
365.0,29.3,1.62,14.2,23.4,1983.0,21.3,9.7,0.044,5,4,4,1,3,Cafe,No,Yes,No,5
889.0,39.0,1.54,17.2,19.7,1508.0,5.1,49.4,0.113,2,3,4,4,2,Cloud Kitchen,No,Yes,No,4
748.0,41.6,0.81,16.5,2.8,3005.0,26.1,39.8,0.038,5,5,4,1,1,Casual Dining,No,No,Yes,5
491.0,55.3,4.99,35.2,3.3,1504.0,17.7,48.7,0.303,3,4,5,2,2,Cloud Kitchen,No,Yes,No,4
476.0,35.0,2.92,38.0,3.6,895.0,8.1,39.5,0.046,2,2,3,3,2,Casual Dining,Yes,No,No,3
530.0,13.9,12.54,37.5,7.9,1201.0,12.7,29.9,0.048,4,5,3,1,3,Cafe,No,Yes,No,5
397.0,36.8,16.54,34.5,4.5,598.0,31.0,18.5,0.295,3,4,4,3,2,Cloud Kitchen,Yes,Yes,No,5
490.0,48.0,3.71,29.7,2.1,1844.0,40.3,41.4,0.204,4,2,3,1,2,Quick Bites,No,No,Yes,3
528.0,36.9,10.02,39.1,1.7,1872.0,5.9,54.1,0.197,2,4,3,2,1,Quick Bites,Yes,Yes,No,3
1031.0,38.5,1.03,22.8,2.3,1605.0,23.5,37.5,0.099,5,4,5,2,2,Fine Dining,Yes,No,No,5
275.0,30.4,1.81,20.7,1.9,3532.0,33.4,34.8,0.01,2,5,5,1,1,Quick Bites,No,No,No,3
788.0,26.8,2.45,47.1,12.7,798.0,11.7,51.7,0.109,4,3,1,2,1,Quick Bites,Yes,Yes,Yes,3
1137.0,35.1,2.61,23.9,29.6,698.0,22.1,43.7,0.256,4,2,2,2,1,Casual Dining,No,Yes,Yes,4
321.0,29.8,2.15,21.3,5.9,1182.0,7.3,33.9,0.194,4,3,3,3,1,Casual Dining,Yes,No,Yes,5
541.0,30.7,6.73,35.4,18.5,4786.0,14.4,7.3,0.053,4,2,3,4,2,Cloud Kitchen,Yes,Yes,Yes,4
559.0,28.9,0.3,16.7,3.2,337.0,15.4,0.0,0.082,4,2,4,3,1,Casual Dining,Yes,No,Yes,5
454.0,43.1,0.3,40.6,10.6,1279.0,19.7,18.5,0.094,2,4,5,1,1,Quick Bites,No,Yes,No,4
388.0,54.6,0.3,41.8,9.2,983.0,13.1,23.5,0.065,4,5,3,2,1,Fine Dining,No,Yes,Yes,3
299.0,42.4,6.63,32.4,2.7,1433.0,11.1,38.9,0.157,2,3,3,2,3,Quick Bites,Yes,Yes,No,2
163.0,59.5,2.53,28.1,10.5,399.0,43.8,57.6,0.432,4,3,1,2,1,Quick Bites,Yes,No,No,3
657.0,35.5,1.44,21.1,28.5,618.0,7.0,32.4,0.006,4,5,2,1,1,Quick Bites,Yes,Yes,Yes,4
150.0,32.2,3.52,25.1,2.3,1512.0,21.5,72.1,0.071,4,4,5,1,2,Cafe,No,Yes,Yes,4
636.0,62.5,15.58,36.4,10.1,1271.0,11.7,27.7,0.252,4,4,2,2,1,Casual Dining,Yes,Yes,Yes,3
779.0,46.1,2.21,29.1,1.8,697.0,31.8,56.5,0.165,4,5,4,4,3,Cafe,No,No,No,4
294.0,28.4,1.44,28.3,5.8,645.0,4.3,37.8,0.015,1,2,3,2,1,Casual Dining,Yes,Yes,No,3
653.0,45.7,5.53,19.9,1.3,1415.0,6.8,54.7,0.519,4,5,5,1,1,Cafe,Yes,Yes,No,5
705.0,19.7,1.35,31.2,9.9,2585.0,16.6,33.9,0.213,5,5,5,3,1,Casual Dining,Yes,Yes,Yes,5
705.0,25.7,0.61,17.0,4.8,3187.0,14.4,21.0,0.374,4,3,4,3,1,Cloud Kitchen,No,Yes,No,5
395.0,51.7,6.89,38.0,0.1,791.0,16.2,48.8,0.332,4,3,4,3,1,Quick Bites,Yes,Yes,No,3
587.0,38.8,2.18,40.5,16.4,1369.0,40.2,29.9,0.199,4,4,3,1,1,Casual Dining,No,Yes,No,5
545.0,47.8,0.3,35.5,2.0,3080.0,28.3,4.2,0.098,3,3,1,4,1,Quick Bites,No,Yes,No,3
329.0,42.1,3.84,38.3,11.0,970.0,27.4,39.5,0.063,3,5,1,1,2,Cloud Kitchen,Yes,Yes,No,4
379.0,23.1,5.86,31.7,2.6,1656.0,0.6,20.5,0.244,3,4,3,2,1,Cafe,No,No,Yes,4
682.0,28.6,0.37,48.5,3.9,1992.0,26.1,62.7,0.305,3,3,5,3,2,Casual Dining,Yes,Yes,No,4
376.0,63.9,0.96,35.1,3.4,2303.0,9.8,52.7,0.211,4,3,3,4,3,Cafe,Yes,Yes,Yes,3
617.0,52.3,3.78,34.0,8.8,1274.0,11.3,42.6,0.128,2,3,5,1,2,Fine Dining,Yes,Yes,Yes,4
517.0,43.3,2.27,22.4,14.9,1438.0,34.9,47.0,0.191,3,5,3,1,1,Casual Dining,No,Yes,Yes,4
438.0,48.7,0.3,36.1,2.2,638.0,16.2,38.2,0.024,4,4,3,3,1,Quick Bites,Yes,Yes,No,4
522.0,56.8,1.25,29.1,1.1,968.0,19.0,63.2,0.175,3,4,3,3,1,Quick Bites,No,Yes,No,3
584.0,38.8,3.22,18.5,3.1,3087.0,19.3,11.1,0.055,2,5,2,4,1,Cafe,Yes,Yes,No,5
511.0,49.4,0.89,30.7,2.7,3252.0,7.1,39.0,0.775,3,3,2,2,2,Quick Bites,No,Yes,No,4
540.0,35.2,1.48,36.5,9.9,1075.0,6.2,54.7,0.049,4,5,5,1,2,Cafe,No,No,Yes,5
697.0,71.4,2.86,42.9,2.9,914.0,41.0,47.9,0.185,4,2,5,2,2,Quick Bites,Yes,Yes,No,4
454.0,37.7,1.49,29.5,3.5,2648.0,17.4,43.6,0.256,3,3,5,2,1,Casual Dining,Yes,Yes,Yes,5
549.0,38.0,4.24,34.2,7.5,4596.0,30.9,47.7,0.141,4,5,1,2,2,Quick Bites,Yes,Yes,No,5
448.0,36.5,1.5,13.2,26.3,437.0,9.2,38.1,0.11,3,2,3,4,1,Quick Bites,Yes,No,No,4
607.0,59.4,3.13,26.8,7.7,5335.0,27.1,19.7,0.048,3,5,4,2,1,Casual Dining,Yes,Yes,No,3
